horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
50 days,269.06937756931364,16.40333434303263,11.87536145481948,0.19790834453167688,0.1162584784054915,0.19564386387501098,0.45514861995753714,50,2024-08-20
51 days,274.4653035882276,16.566994404182903,12.019368632886884,0.20137869727672314,0.1162584784054915,0.19802265573100025,0.45010615711252655,51,2024-08-21
52 days,286.6596189002639,16.93102533517282,12.343789694778787,0.20896764971124085,0.12000220547324272,0.2049832920436581,0.45222929936305734,52,2024-08-22
53 days,294.6548813553705,17.16551430500614,12.558770797076154,0.21082293755909612,0.12139686885033465,0.208822364598884,0.44485138004246283,53,2024-08-23
54 days,296.81277110976606,17.228255022194386,12.583465464224403,0.21134004669632941,0.12145283574310496,0.20823648985210652,0.45010615711252655,54,2024-08-24
55 days,297.2709224255023,17.241546404702284,12.60571723830713,0.21293923860890526,0.12284285561630456,0.2095065974718898,0.45331809026076547,55,2024-08-25
56 days,310.24335112879834,17.61372621363232,12.90031225842185,0.2186671690953906,0.12335682196946804,0.21564154500347216,0.4542980020687027,56,2024-08-26
57 days,320.47183797613053,17.901727234435523,13.127829649250996,0.22237314458036567,0.12455398642972622,0.21965518045511867,0.45116772823779194,57,2024-08-27
58 days,326.0581977845272,18.057081651931664,13.216096739156574,0.22416099773918988,0.12455398642972622,0.22154087991225596,0.463683093083026,58,2024-08-28
59 days,336.4696439893657,18.343108896513854,13.445772052652908,0.23070073570275382,0.12647993986857722,0.2271302740106318,0.4744692144373673,59,2024-08-29
60 days,340.8734257363938,18.462757804195824,13.56797251873817,0.23232219056794762,0.1278475631666381,0.23012708461840237,0.48178997223583214,60,2024-08-30
61 days,337.604443445786,18.374015441535526,13.454410694939007,0.22993294311284085,0.125739672193259,0.22718694411389925,0.49585987261146497,61,2024-08-31
62 days,332.24795177398175,18.227669949118066,13.322884861467765,0.22977690916772453,0.125739672193259,0.2260668627851721,0.5044055201698514,62,2024-09-01
63 days,340.1943973682192,18.444359500080754,13.505890373194541,0.23465001684952577,0.12788348665863628,0.23055507809995926,0.5107749469214438,63,2024-09-02
64 days,342.59357847144565,18.50928357531554,13.539748703852243,0.23378748482258296,0.12869899481123223,0.23054298477360674,0.5222929936305732,64,2024-09-03
